"","ADNP.gp140.Ave_tp6","ADCP.SIV.mac239.gp140.Ave_tp6"
"04E102",0.27,87.81
"08C053",0.26,47.14
"08C067",0.63,116.05
"08D054",0.89,124.22
"08D161",0.27,63.21
"08C064",0.47,73.98
"08D207",0.38,78.5
"08D245",0.36,50.89
"08D263",0.32,113.34
"ZG89",0.31,83.81
"08D085",0.24,58.3
"08D140",0.97,107.15
"04E093",0.33,91.78
"08D220",0.4,91.59
"3D-2",0.62,80.9
"08D168",0.38,78.49
"04E095",0.4,92.34
"08D117",0.33,74.25
"8-96",0.47,80.84
"8-20",0.23,89.12
"08D061",0.38,123.02
"08D078",0.63,88.78
"08D114",0.78,137.35
"08D165",0.93,84.81
"08D235",0.86,93.74
"8-82",0.94,123.49
"08D166",0.29,128.72
"08D255",1.33,106.38
"08D197",0.88,123.6
"08D038",1.47,90.17
"8-156",0.38,123.47
"08D103",0.66,131.13
"08D144",0.46,149.18
"08D028",0.58,154.59
"08D258",1.17,154.47
"08D225",0.32,155.77
"8-70",0.41,162.2
"ZG05",0.3,135.26
"ZG12",1,164.71
"ZG68",0.44,148.96
"08D106",1.48,95.81
"8-144",0.83,127.35
"8-58",0.56,72.34
"8-124",2.75,167.79
"8-166",1,104.03
"AR87",1.26,70.22
"8-86",2.17,88.9
"8-94",0.57,151.2
"AZ44",9.2,96.16
"T4279",0.32,55.98
"3D7",3.12,123.71
"8-56",1.91,88.93
"8-64",0.92,94.77
"8-116",5.72,118.88
"8-2",2.27,88.34
"AS42",6.31,100.1
"AS70",3.74,87.31
"AV45X",1.24,94.65
"T-4276",2.38,88.74
"ZE24",3.68,99.82
