"","R2A.3.SIVmac239.gp120","R2A.3.SIVmac239.gp130","R2A.3.SIV.1A11.gp140","R2A.3.SIV.E543.gp140","R2A.3.SIVmac239.gp140","R2A.3.SIVmac239.gp140.AVI.His","R2A.3.J08.V1V2.E660.084.AVI.His","R2A.3.J08.V1V2.E660.2A5.AVI.His","R2A.3.J08.V1V2.mac239.AVI.His","R2A.3.V1a","R2A.3.G49","R2A.3.C1.Ak","R2A.3.C1.TR","R2A.3.G73","R2A.3.SIVsm.E660.2A5","R2A.3.SIVsm.E660.84","R2A.4.low.SIVmac239.gp140","R2A.4.high.SIVmac239.gp120","R2A.4.high.SIVmac239.gp130","R2A.4.high.SIV.E543.gp140","R2A.4.high.SIVmac239.gp140","R2A.4.high.J08.V1V2.E660.084.AVI.His","R2A.4.high.J08.V1V2.E660.2A5.AVI.His","R2A.4.high.J08.V1V2.mac239.AVI.His","R2A.4.high.V1a","R2A.4.high.G49","R2A.4.high.C1.TR","R2A.4.high.SIVsm.E660.2A5","R3A.3.SIVmac239.gp120","R3A.3.SIVmac239.gp130","R3A.3.SIV.1A11.gp140","R3A.3.SIV.E543.gp140","R3A.3.SIVmac239.gp140","R3A.3.SIVmac239.gp140.AVI.His","R3A.3.J08.V1V2.E660.084.AVI.His","R3A.3.J08.V1V2.E660.2A5.AVI.His","R3A.3.J08.V1V2.mac239.AVI.His","R3A.3.V1a","R3A.3.C1.Ak","R3A.3.C1.TR","R3A.3.G119","R3A.3.G73","R3A.3.SIVsm.E660.2A5","R3A.3.SIVsm.E660.84","C1q.SIV.E543.gp140","C1q.SIVmac239.gp140","C1q.J08.V1V2.mac239.AVI.His","C1q.V1a","C1q.C1.TR","C1q.G73","rR2A.1.SIVmac239.gp140","rR3A.1.SIVmac239.gp120","rR3A.1.SIVmac239.gp130","rR3A.1.SIVmac239.gp140","rR3A.1.SIVsmE543.gp140","hC1q.SIVmac239.gp120","hC1q.SIVmac239.gp130","hC1q.SIVmac239.gp140","hC1q.SIVsmE543.gp140","hFcgRIIIb.SIVmac239.gp120","hFcgRIIIb.SIVmac239.gp140","rR3A.3.SIVmac239.gp120","rR3A.3.SIVmac239.gp140","rR3A.3.SIVsmE543.gp140","hFcgRIIIa_F158.SIVmac239.gp140","hFcgRIIa.SIVmac239.gp140","aRhIgG.PE.low.SIVmac239.gp120","aRhIgG.PE.low.SIVmac239.gp130","aRhIgG.PE.low.SIV.1A11.gp140","aRhIgG.PE.low.SIV.E543.gp140","aRhIgG.PE.low.SIVmac239.gp140","aRhIgG.PE.low.SIVmac239.gp140.AVI.His","aRhIgG.PE.low.J08.V1V2.E660.084.AVI.His","aRhIgG.PE.low.J08.V1V2.E660.2A5.AVI.His","aRhIgG.PE.low.J08.V1V2.mac239.AVI.His","aRhIgG.PE.low.V1a","aRhIgG.PE.low.C1.Ak","aRhIgG.PE.low.G119","aRhIgG.PE.low.G73","aRhIgG.PE.low.SIVsm.E660.2A5","aRhIgG.PE.low.SIVsm.E660.84","aRhIgG.PE.high.SIVcpz.EK505.gp120","aRhIgG.PE.high.SIVmac239.gp120","aRhIgG.PE.high.SIVmac239.gp130","aRhIgG.PE.high.SIV.1A11.gp140","aRhIgG.PE.high.SIV.E543.gp140","aRhIgG.PE.high.SIVmac239.gp140","aRhIgG.PE.high.SIVmac239.gp140.AVI.His","aRhIgG.PE.high.J08.V1V2.E660.084.AVI.His","aRhIgG.PE.high.J08.V1V2.E660.2A5.AVI.His","aRhIgG.PE.high.J08.V1V2.mac239.AVI.His","aRhIgG.PE.high.V1a","aRhIgG.PE.high.C1.Ak","aRhIgG.PE.high.G73","aRhIgG.PE.high.SIVsm.E660.2A5","aRhIgG.PE.high.SIVsm.E660.84","rIgG_low.SIVcpz.EK505.gp120","rIgG_low.SIVmac1A11.gp140","rIgG_low.SIVmac239.gp120","rIgG_low.SIVmac239.gp130","rIgG_low.SIVmac239.gp140","rIgG_low.SIVsmE543.gp140","rIgG_high.SIVmac1A11.gp140","rIgG_high.SIVmac239.gp120","rIgG_high.SIVmac239.gp130","rIgG_high.SIVmac239.gp140","rIgG_high.SIVsmE543.gp140","SIVmac239.gp140.HisAVI.IgA","SIVmac239.gp140.IgA"
"04E102",3595,946,2793,47834,94335,2015.5,575,564.5,10241,3581,1812,2286,5814.5,1410,122,96.5,65,144,94,2348.5,49066,551,373,716,3668,6889.5,13431,122,1696,459,201,20531.5,49316.5,852,268,412,2556,632,1081,2809,355,496,86.5,77,103,255,71,98.5,217,195.5,57,44,67.5,869,400,76,99,163,73.5,78,102,76,264.5,142,88,118,1105,648,762,2970,8757,136,220,318,644,401.5,150,103,161,353.5,194,182,6470,3284,1772,22857,48176,380,1284,1667,4332,1900,390,587,916,596,151,626.5,6478,7238.5,48741,37529,329.5,866,623.5,7682,4113,129.5,205.75
"08C053",10814,3277,3359,18274.5,89034,3274.5,776,686,773.5,2655,3245,3685,7526,2292,1618,135,65.5,167,95,4181.5,56544,828,663,429,4200.5,7718.5,14601,105,19403,14228,1729.5,26311,74442,871,348,743,472,957,1255,2107,293,403,5119,242.5,85,1057,72,119.5,163,170,104,56,88,1708,448,53,64.5,1295,74,78.5,354,91,546.5,124,186,133,2258,1440,1141,2677,15691,145,256,305.5,416.5,327,184,118.5,184,956,276,331,13613.5,9004,4219.5,20018,71934,608,1586.5,2043,1982,1769,855,770,7675.5,1809,461.5,3980,13178,15623,67284,38368,624,2080,1282.5,14639.5,3132,81,146.5
"08C067",55130,28933,18183,80609.5,125878.5,13192.5,55381,72800,86207,97675,8094.5,8576,15287,53398,40812,12704.5,2015,1225,94,38714.5,61560,6576.5,14316.5,13171,36776.5,5797,9912,140,71044.5,48210.5,18365,76710.5,114980.5,5374,58938,61537,72686,85215,2492.5,4317,859,40378.5,52428.5,34759,950,9299,128.5,5718,223,648,234,269,292,3982,2670,49,73,29674,6132.5,110,1480,307.5,1528,791,551,323.5,6293.5,3048.5,1798,13562,40344.5,471,3628,4894,5256,10485,252.5,178.5,2237,4088,1637,389,36913,20440,8002,77611,112837,3776,31498.5,43639,45076,77850.5,1340,21295,24145,13856,367,2746.5,23823,20035,66118.5,55524,1973,6587,3592.5,39757,15028.5,134.75,195.5
"08D054",97025,91405,44802,76403,111378,11792.5,110170,107684,117032,26790,5539,8239,14849.5,4134.5,83904,9607,272,28067,21295,41804,47800,47926,48678,47868.5,10788,12455,22218.5,18707,52805,42579,20839,55814.5,73495.5,3974,58710,66257,70440.5,7846,2734,5435.5,535,751,42602,3300,1010,2985,2962,692,1308.5,935,2283,3326,1514,6590,2622,17599,5789,49848.5,9843,2508,3742,1622.5,2000.5,901,1193.5,449.5,6439,5152,1725.5,2047.5,28363,383,2080,2257,15605.5,1805,254,151,182,4951,548.5,468.5,20474.5,14731,5589,6944.5,61218,580,6283,6260.5,6270.5,1051,553,411,14586,2617,1225,8863,69149,48531,87086,61748.5,6411,25853,18034,65970,16510,367,537
"08D161",59257,40310,16914.5,50114,137758,5631,2779,4754,31692,43138,3547,5175,9990,3008,34291,4273.5,2530,1348.5,197,3855,60694,875,600.5,1460.5,7109,9343,17357,165,29047.5,20235,6829,27223,107365.5,1928.5,1085,1235,8752,12506,2119,4054.5,659,1000.5,16202,3409,172,19061,140,256.5,392.5,237.5,547,316.5,386,4951,764,55,67,28042,78.5,135,3796,306.5,1947,311.5,808.5,375,13004,8839,3953,6968,67590.5,492,630.5,854.5,2847,2502,365.5,250.5,361,8150,2027,749,41633,30438,10782.5,46466,128215.5,1084,4254,6100.5,20246,17484.5,1252,729,28910,11715,722,3741,33590,31748,90116.5,51632,2794,10207.5,7580.5,57709.5,6962,131.5,228.5
"08C064",63726,51300,23666.5,60238,90482,15451.5,83721.5,82980.5,95030,92864.5,8581,9747,18525,5589,44346,2184,117,19950,6656.5,29400.5,32900,36776,36913,38338,45349,9145.5,17343,4021,96056.5,82775,52907.5,73963,102452,18388,90162.5,97196,107046,103557.5,3145,7993,1509,1497.5,79937,24419,1332.5,5103,9381,14964,565,378.5,683,1953.5,832,4996,2501.5,4518.5,448,33333,6484,2491.5,3463,1820,2296,1060.5,1028,689,13990.5,8895.5,4567.5,10453,29002,810,12870,15828.5,15963,16645,252.5,220,244,7369,1020,691,78876.5,51995,25228,68354.5,95326.5,5174,80666.5,91063.5,93799,101688,1167,815.5,47298.5,8848.5,826.5,5627.5,61701.5,37914,73659.5,58205,2892,14293,8240,36069,11189.5,232.5,355.25
"08D207",90356,72299,40835,80837.5,107388,13776,104082,110967.5,107297,45360.5,10998.5,18707.5,20246,7469,81054,6394,3858.5,22629,13768.5,34428,45201,41416,46421,40515.5,16860,12876,22914,17897,87757,72960,37973.5,75149,95497.5,6793,87837,101095.5,94118.5,44551,9323,6231.5,856,1910.5,76334,15469.5,1503,3621,3835.5,1074,1306.5,855.5,1586,2824.5,1324,4647,2326,8470,2768.5,17249,6252.5,3445,6030,1841,2392,1237,1544,1198,20976,14397,8208,16033,38304,774,26585,26174,22982,3706,658.5,162.5,291,17404,2125,886,81270.5,60180.5,23997,65686.5,65835,4319,92864,96911.5,84109,29252,5522.5,1269,64011,13714.5,1479.5,10543.5,80069.5,54522,91305,73403,7357,29692.5,16964,51915,21315,381.5,519.5
"08D245",74613,51300,40800.5,87871.5,111115.5,5988.5,42362,59166,60682,76973,3147.5,4924,8940,2294,67876,12493,434,681,222.5,23153.5,33128.5,2046,3710,2746,13015,6501,12486,254,75833,64524,27656.5,80119,94620,3483,37392,52714,54971,58037.5,2259,4108,752,1351,65732,25650,2540,7636,77.5,2917,183,183.5,690,367.5,304,3075,1509,956,500.5,5449,1226,129,1406,253,1093.5,614,396,192,9998.5,6614.5,5068,19517,37643,418,1985,2603,2553,3603,254,166,226.5,11464,2745,729.5,37141.5,27554,15371.5,79275.5,84976,2630,18764.5,24829,23712,35408.5,1505,784,33151,9518,808,3965,31818.5,29032.5,79883,59394,4379.5,10818,8304,48285,28389,240,359
"08D263",32992,17955,11265.5,61058,97972,13026,49042.5,54994,50650,87711.5,11238,11231,20110,6978,15547,377,398.5,833.5,175,17485.5,40561,13401,17122,15853.5,39581,13033,22504,216,18240,10732,4053,40903.5,69084,3212,21113,21022,21204,44027,3182.5,5478.5,598,1135,8376,378,503,1773,438,2315.5,653,508,514.5,312,266,3948,1889,496,256.5,11357,1790,211.5,2866,418,1436,640,717,440.5,5363.5,2616,2258,9676,32946,248.5,3401,4502.5,4246,8481,192,136,182,2800,525,605,46056,29697,16471,74670,105188,2961,49978,60808,57912,96284.5,1197,1630,29298,5957,337,1563.5,14564,12872,42471,27564,2114.5,9447,5740,46470,21373.5,94.75,139
"ZG89",53557,40812,26003.5,32536,99910,6425,66416.5,70737,57410,32353.5,4115,6369.5,10299,3523,24487,1245.5,5823,14818,3317,15672,54423.5,17522,22446.5,21762.5,7958,6411,10939,1274.5,41131,36708,15226,23484,83117.5,2899,44859,52554,43252,32228,1395,2593.5,508.5,1445,27451,2405,175,1359,495.5,559,930.5,572.5,680,323,288.5,3903,295,1088,548,17191,674,213,2718,418,1452.5,169,656,307.5,11489,7892.5,3014,4518,39113,359,5485,5878.5,6038,3175,281.5,159.5,264,4856,1211,491.5,47686,35363,14175.5,32490,94836.5,2343,43822,43867,43388,26505,1459,1356.5,28796,7755,365.5,2633,27972,21725,74615,25023,1298,9561.5,6889,44004,2460.5,174.75,282.25
